"caseId","Residence Own house/aprt","Disabled or Ill","Highest education completed","Present work situation","Current job prestige scores","Current occupation satisfaction","Present income satisfaction","Respodent identity importance","Respodent detention/jail/prison","Country feels like home","Respondent health","Has Children","Average English Skill","MariageStatus","successIndex","desired.job.prestige.score-1991","GPA","Parent.SES.index-1991","English.Knowledge-1991","Private.school-1991","Houshold.guardians-1991","number.household.members-1991","Sex","Respondent.US.stay.length-1991","Respondent job preference-1991","felt discriminated-1991","Depression-1991","Self-esteem-1991","education expectation-1991","Hours/day on HW-1991","Good grades importance-1991","Reason Dad came to US","Reason Mom came to US","Present living situation-1995","number people living w/respondent-1995","Economic situation/3 year ago-1995","Parent divorced/separated past year-1995","Parent re/married past year-1995","Parent lost job/past year-1995","Respondent ill/disabled past year-1995","Parent died past year-1995","Respondent sex-1995","Respodent US Citizenship-1995","Respondent job classification-1995","Don't feel save at school-1995","attainable education level-1995","Paren education preference-1995","Respondent hour studying-1995","Good grade importance-1995","English Knowledge-1995","Depression-1995","Self-esteem-1995","Familism index-1995","Family cohesion-1995","GPA-1995","Dropped out by 1995","Percent daily school attendance-1995","Private school-1995"
1203,0,1,3,8,34,4,4,3,1,1,4,0,4,0,19.182,60,3.1,0.01,4,0,1,4,1,3,6,1,1.25,3.9,5,1,2,1,1,1,4,3,2,2,2,2,2,1,1,6,4,5,5,3,1,4,1,4,1.67,4.33,3.08,0,94.7,0
1204,0,1,3,8,50,4,4,2,1,1,3,0,4,0,26.442,67,2.8,0.35,3.75,0,1,7,2,3,10,2,1.5,2.7,4,3,1,9,3,1,4,2,2,2,1,2,2,2,1,5,4,4,5,4,2,3.75,1.75,3.3,2.33,3.67,3.17,0,96,0
1207,0,1,5,8,42,4,4,3,1,1,5,0,4,0,23.285,56,2.92,1.07,4,0,1,5,2,1,5,2,1.75,2.9,2,2,1,9,9,1,4,4,2,2,2,2,2,2,1,5,4,4,5,4,1,4,1.25,3.3,1.33,3.67,2.69,0,95.5,0
1210,1,1,3,7,22,3,2,2,1,1,3,0,4,0,13.287,70,3.6,0.56,4,0,1,3,1,3,4,1,1.75,2.6,4,2,1,9,3,1,2,4,2,2,2,2,2,1,1,5,3,4,5,3,1,4,1.25,3,1.33,3.33,2.83,0,94.8,0
1212,0,1,3,7,48,4,3,3,1,1,4,0,4,0,25.436,54,3.8,0.73,4,0,1,3,2,1,5,2,1,3.5,5,5,1,1,1,1,5,1,2,2,1,2,2,2,1,4,3,4,5,3,1,4,2,3.1,2,3.67,3.33,0,96,0
1215,0,1,6,8,68,5,4,3,1,1,4,0,4,0,35.466,78,4,0.5,4,0,1,6,1,1,10,1,1,4,5,2,1,9,4,1,4,3,2,2,2,2,2,1,1,10,3,5,5,4,1,4,1.25,3.9,1.33,3,4.08,0,95.5,0
1220,0,1,5,8,46,4,4,3,1,1,3,0,4,0,25.051,78,3.2,0.5,4,0,1,5,1,2,10,1,1,3.67,4,2,1,9,3,1,5,3,2,2,2,1,2,1,1,6,4,5,5,3,1,4,1.25,4,1.67,3,2.79,0,94.7,0
1221,0,0,2,7,31,4,3,2,1,1,4,0,3.75,0,17.3015,60,3,0.61,4,0,1,9,2,2,6,2,1.5,3.7,4,5,1,1,1,1,9,3,2,2,2,2,1,2,1,6,2,5,5,5,1,4,1.75,2.9,1.67,3.33,2.6,0,96,0
1222,0,0,5,7,16,4,2,3,1,1,3,0,4,0,10.986,78,3,0.43,4,0,1,5,2,1,4,1,2.75,2.6,4,4,1,9,3,1,5,4,2,2,2,2,2,2,1,5,1,5,5,4,1,4,2.75,2.8,1,3.67,3.67,0,96,0
1231,0,1,6,8,56,5,4,2,1,1,5,0,4,0,29.944,65,4.67,0.86,4,0,1,3,2,1,12,1,1.5,2.9,4,3,1,1,1,1,3,2,2,2,2,2,2,2,1,11,3,5,5,2,1,4,1.75,2.7,1,3.33,4.67,0,94.3,0
1241,0,1,3,7,52,1,4,3,1,1,4,1,3.75,1,27.1525,62,3.9,-1.38,3,0,1,6,2,4,8,1,1.25,3.5,5,3,1,3,3,1,5,3,2,2,1,2,2,2,2,4,2,5,5,5,1,3.25,1.25,3.6,2,4.33,3.75,0,92.1,0
1243,0,1,6,8,53,4,4,1,1,1,5,0,4,0,28.434,66,3.4,1.13,4,0,1,4,1,3,7,1,1,3.5,5,2,1,4,4,1,4,2,2,2,2,2,2,1,2,7,4,5,5,4,1,4,1,4,2.67,5,3.64,0,94.7,0
1244,0,1,5,7,40,5,5,3,1,1,3,0,4,0,22.385,40,1.7,-1.27,4,0,1,3,2,2,6,1,2.75,3.6,3,5,2,1,1,1,4,2,2,2,2,2,2,2,1,14,4,3,3,1,2,4,2,3.7,2,3,2.75,0,94.8,0
1247,0,0,2,8,42,3,2,3,1,1,4,0,3.5,0,22.262,62,2.7,-1.37,4,0,2,6,2,1,10,1,2,3.1,2,1,1,1,3,2,5,2,2,2,1,2,2,2,1,9,4,4,4,4,1,4,1,3.8,2,2.67,1.77,0,92.1,0
1248,0,1,3,8,52,3,2,3,1,1,3,1,4,0,27.196,56,2.2,-0.28,4,0,1,3,2,1,9,2,1.5,3.4,4,2,1,1,3,1,3,4,2,2,2,1,2,2,1,5,4,3,5,2,1,4,1.25,3.2,1.33,3,1.88,0,94.8,0
1250,0,1,6,7,50,5,4,2,1,1,5,0,4,0,27.106,66,3.5,-0.37,4,0,3,4,1,1,7,1,1.5,3.1,4,3,1,1,5,1,4,2,2,2,2,2,2,1,1,10,2,5,4,4,1,3.75,1.5,3.5,1.33,4,3.73,0,94.8,0
1252,0,1,3,8,34,4,4,3,1,1,3,1,4,0,19.194,28,1.2,-0.84,3.25,0,1,2,2,2,12,1,2,3.4,4,2,1,1,1,1,9,1,2,2,2,2,2,2,2,8,2,3,5,3,2,3.5,2,3.3,2,4,2.38,0,94,0
1255,0,1,6,8,56,4,3,3,1,1,5,0,4,0,29.821,57,1.7,0.35,3.75,0,1,3,1,2,13,1,1,3.8,3,2,4,1,1,1,3,2,2,2,2,2,2,1,2,14,2,4,5,2,2,3.75,1,3.3,2.67,4,1.13,0,94.7,0
