"caseId","Present living situation-1995","number people living w/respondent-1995","Economic situation/3 year ago-1995","Parent divorced/separated past year-1995","Parent re/married past year-1995","Parent lost job/past year-1995","Respondent ill/disabled past year-1995","Parent died past year-1995","Respondent sex-1995","Respodent US Citizenship-1995","Respondent job classification-1995","Don't feel save at school-1995","attainable education level-1995","Paren education preference-1995","Respondent hour studying-1995","Good grade importance-1995","English Knowledge-1995","Depression-1995","Self-esteem-1995","Familism index-1995","Family cohesion-1995","GPA-1995","Dropped out by 1995","Percent daily school attendance-1995","Private school-1995","desired.job.prestige.score-1991","GPA","Parent.SES.index-1991","English.Knowledge-1991","Private.school-1991","Houshold.guardians-1991","number.household.members-1991","Sex","Respondent.US.stay.length-1991","Respondent job preference-1991","felt discriminated-1991","Depression-1991","Self-esteem-1991","education expectation-1991","Hours/day on HW-1991","Good grades importance-1991","Reason Dad came to US","Reason Mom came to US"
1444,5,3,4,2,2,2,2,2,1,1,6,2,5,5,1,1,3.75,2.75,3.4,1.67,3.33,3,0,88.5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1446,1,4,3,2,2,2,2,2,1,1,7,4,5,5,6,1,4,1,4,1.33,5,4.72,0,91.3,0,65,4.33,-0.03,4,0,1,4,1,2,12,2,1,4,5,5,1,2,2
1448,1,3,4,2,2,1,2,2,1,1,10,3,5,5,4,1,4,2,2.5,1.67,3,3.61,0,91.3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1449,1,3,3,2,2,1,2,2,1,2,7,4,5,5,1,1,2.25,1.25,3.5,1.33,4,2.75,0,92.1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1453,5,3,2,2,2,2,2,2,1,2,10,3,5,5,5,1,4,2.5,3.4,2,4.67,3.61,0,88.9,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1455,5,2,2,2,2,1,2,2,1,1,11,2,5,5,2,1,4,1.5,3.6,2.67,3.33,2,0,94.3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1456,5,2,4,2,2,1,2,2,2,2,8,3,4,5,1,2,4,2.25,2.8,1.33,4,1.25,0,90.2,0,40,1.25,-0.02,4,0,5,1,2,3,12,1,1.5,4,4,2,1,2,2
1458,5,3,3,1,2,1,2,2,2,2,11,1,5,5,4,1,4,1.75,3.4,2.33,3,2.08,0,92.5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1461,1,3,1,2,2,2,2,2,2,2,11,4,4,5,1,2,4,2,3.8,2,2.33,2.14,0,92.5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1462,3,3,1,2,2,2,2,2,2,1,11,4,5,5,3,1,4,1,4,2.67,4.67,2.5,0,91.6,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
