"caseId","Residence Own house/aprt","Disabled or Ill","Highest education completed","Present work situation","Current job prestige scores","Current occupation satisfaction","Present income satisfaction","Respodent identity importance","Respodent detention/jail/prison","Country feels like home","Respondent health","Has Children","Average English Skill","MariageStatus","successIndex"
2220,0,1,5,8,42,4,4,3,1,1,4,0,4,1,23.297
2222,0,1,3,8,50,5,3,1,1,1,5,1,4,1,26.553
2223,0,1,6,7,55,5,5,3,1,1,4,0,4,0,29.503
2224,0,1,6,7,78,4,4,2,1,1,3,0,4,0,39.804
2228,0,1,6,8,78,4,3,3,1,1,5,0,3.75,1,39.9165
2229,0,1,2,8,39,4,4,3,1,1,5,0,4,1,21.361
2230,0,1,3,8,37,5,4,2,1,1,5,1,4,1,20.723
2231,0,1,2,8,53,4,2,1,1,1,3,0,3,0,27.198
2232,0,1,6,8,56,5,4,2,1,1,5,0,4,0,29.944
2233,0,1,1,7,39,5,3,3,1,1,2,1,4,0,20.97
2235,0,1,3,8,34,2,4,2,1,1,2,0,4,0,18.895
2239,0,1,2,8,42,4,3,3,1,1,4,0,4,0,22.568
2240,0,1,7,7,55,4,2,2,1,1,5,0,4,0,29.339
2241,0,1,7,7,42,4,1,3,1,1,5,0,4,0,23.333
2242,0,1,3,8,42,1,4,3,1,1,5,0,1,0,22.043
2243,0,1,8,7,74,4,2,3,1,1,5,0,4,0,38.307
2244,0,1,8,2,70,4,4,3,1,1,5,0,4,1,36.274
2247,0,1,1,8,42,4,4,3,1,1,5,0,3,0,22.295
2248,0,1,6,8,54,5,5,1,1,1,5,0,4,0,29.065
2249,0,1,5,7,54,4,2,2,1,1,3,0,4,1,28.461
2252,0,1,3,8,30,3,4,2,1,1,4,0,4,1,17.26
2253,0,1,6,7,40,3,2,1,1,1,5,0,4,0,22.123
2256,0,1,2,8,49,5,5,3,1,1,4,0,4,0,26.041
2258,0,1,2,8,37,4,3,3,1,1,3,1,4,1,20.332
2259,0,1,6,8,42,5,2,2,1,1,5,0,4,1,23.389
2261,0,1,2,8,53,5,3,3,1,1,5,0,4,1,27.783
2262,0,1,7,8,67,5,4,3,1,1,5,0,4,1,35.287
2264,0,1,5,8,34,2,5,3,1,1,4,0,4,0,19.498
2265,0,1,3,8,29,5,4,2,1,1,3,1,4,0,16.934
2266,0,1,5,8,34,4,3,1,1,1,4,0,3,0,19.194
2268,0,1,5,8,26,4,4,2,1,1,5,0,4,0,15.892
2269,0,1,6,8,60,4,4,2,1,1,5,0,4,1,31.743
2272,0,1,3,7,45,4,4,3,1,1,4,0,4,0,24.147
2273,0,1,5,8,49,5,4,3,1,1,5,0,4,0,26.582
2274,0,1,5,7,34,5,3,2,1,1,5,0,4,0,19.476
2275,0,1,3,8,53,3,1,2,1,1,5,0,1,1,26.994
2276,0,1,6,7,21,3,2,1,1,1,5,0,4,0,13.402
2277,0,1,3,8,51,3,4,1,1,1,5,0,4,0,26.838
2279,0,1,2,8,53,4,4,3,1,1,4,0,4,1,27.752
2280,0,1,3,8,39,2,3,3,1,1,5,0,4,0,21.256
2282,0,1,3,8,34,3,4,1,1,1,4,0,4,1,19.047
2283,0,1,5,8,39,4,4,3,1,1,5,0,4,0,21.908
2284,0,1,3,8,34,3,2,3,1,1,5,1,3.5,1,18.952
2285,0,1,3,8,34,4,3,3,1,1,3,1,4,1,19.153
2287,0,1,3,8,28,4,3,2,1,1,5,0,4,1,16.373
2288,0,1,2,8,39,5,3,3,0,1,3,0,3.75,0,20.7315
2289,0,1,2,8,38,4,4,3,1,1,5,1,4,1,20.949
2292,0,1,6,8,57,5,2,2,1,1,4,0,4,0,30.192
2293,0,1,2,8,31,2,2,1,1,1,3,0,3.75,0,17.0805
2294,0,1,6,8,62,2,2,3,1,1,4,0,4,0,32.284
2295,0,0,3,8,32,3,3,3,1,1,3,0,4,0,18.022
2296,0,1,3,8,34,4,4,3,1,1,3,0,4,0,19.147
2297,0,1,3,7,35,4,3,1,1,1,4,0,4,0,19.371
2298,0,1,2,8,39,2,2,2,1,0,5,0,4,0,20.872
2299,0,0,5,2,51,2,1,3,1,1,3,0,4,1,26.422
2300,0,1,2,8,72,5,3,3,1,1,5,0,4,0,36.457
2301,0,1,5,8,34,5,4,2,1,1,5,0,4,0,19.648
2304,0,1,7,2,66,5,3,1,1,1,5,0,4,0,34.091
2306,0,1,2,7,39,4,4,3,1,1,5,1,4,0,21.277
2308,0,1,3,8,53,5,3,2,1,1,5,0,4,1,27.932
2312,0,1,4,8,56,2,3,3,1,1,5,0,4,0,29.257
2313,0,1,4,8,53,5,4,3,1,1,5,0,4,1,28.267
2314,0,1,2,8,31,3,3,3,1,1,4,0,3.25,0,17.2865
2315,0,1,7,8,50,4,3,2,1,1,5,0,4,0,27.216
2316,0,1,8,8,57,5,2,3,1,1,5,0,4,0,30.672
2320,0,1,3,8,53,5,5,3,1,1,5,0,3.75,1,28.1075
2322,0,1,3,8,38,4,4,3,1,1,5,1,4,1,21.147
2324,0,1,4,8,42,3,4,2,1,1,5,0,4,1,23.001
2325,0,1,2,8,29,4,3,2,1,1,5,0,4,1,16.634
2326,0,1,1,7,42,4,3,3,1,1,3,0,3.25,0,22.1025
2327,0,1,3,8,42,3,2,2,1,1,4,0,4,0,22.545
2329,0,1,2,8,52,4,3,1,1,1,4,0,3.5,0,26.961
2331,0,1,5,7,42,4,4,2,1,1,3,1,4,1,23.176
2332,0,1,5,8,46,5,3,2,1,1,5,0,4,0,25.068
2333,0,1,5,7,23,4,2,3,1,1,5,0,4,0,14.304
2334,0,1,2,8,22,4,2,2,1,1,3,0,3.25,0,13.0675
2336,0,1,5,8,16,4,3,3,1,1,4,0,4,0,11.228
2337,0,1,4,8,42,4,2,3,1,1,5,0,4,0,22.911
2338,0,1,7,8,72,5,4,3,1,1,5,0,3.75,1,37.5325
2339,0,1,5,8,44,4,3,3,1,1,5,0,3.5,0,24.016
2341,0,1,5,7,42,3,2,2,1,1,4,0,4,0,22.857
2342,0,0,2,7,39,4,2,3,1,1,3,0,4,0,20.949
2345,0,1,2,8,67,4,3,3,1,1,4,1,4,0,34.09
2348,0,1,5,8,51,5,4,2,1,1,4,0,4,0,27.416
2350,0,1,7,8,42,4,3,3,1,1,3,0,4,1,23.57
2351,0,1,3,8,67,4,4,2,1,1,5,1,4,0,34.362
2352,0,1,5,8,38,3,4,3,1,1,5,0,4,1,21.412
2353,0,1,3,8,53,3,1,3,1,1,5,0,4,0,27.59
2355,0,1,2,8,38,4,4,3,1,1,3,0,4,1,20.832
2358,0,1,6,8,52,5,3,3,1,1,5,0,4,0,28.069
2359,0,1,2,8,28,4,4,3,1,1,4,1,4,1,16.324
2360,0,1,6,8,34,2,2,3,1,1,5,0,4,1,19.514
2361,0,1,3,3,34,4,5,3,1,1,5,1,4,1,18.979
2362,0,1,8,8,62,5,5,3,1,1,4,0,4,1,33.243
2363,0,1,6,8,34,2,2,2,1,1,5,1,4,1,19.512
